ShipCount,TotalCellsExpanded,TotalPathLength(Ratio),TotalPathCost,TotalTimeTaken
1,233,0,0,5
2,181,0,0,0
5,495,0,0,0
10,1160,0,0,0
25,154672,0,0,2
50,945435,1,8797,7
100,7776460,1,21017,39
