ShipCount,TotalCellsExpanded,TotalPathLength,TotalPathCost,TotalTimeTaken
1,233,233,298,0
2,181,181,301,0
5,495,495,694,0
10,1160,1160,1576,0
25,116176,3616,4791,3
50,1180321,6691,8827,11
100,4537016,13791,18167,137
