ShipCount,TotalCellsExpanded,TotalPathLength(Ratio),TotalPathCost,TotalTimeTaken
1,12337,239,298,10
2,7927,181,301,0
5,15358,493,694,0
10,40595,1152,1576,0
25,156144,3600,4783,1
50,278701,6661,8747,2
100,583973,13609,17865,5
