ShipCount,TotalCellsExpanded,TotalPathLength,TotalPathCost,TotalTimeTaken
1,233,233,298,0
2,181,181,301,0
5,495,495,694,0
10,1160,1160,1576,1
25,154672,3616,4795,2
50,937591,6693,8797,7
100,6919458,13657,18009,35
