ShipCount,TotalCellsExpanded,TotalPathLength,TotalPathCost,TotalTimeTaken
1,233,233,298,0
2,181,181,301,0
5,495,495,694,1
10,1160,1160,1576,1
25,105749,3612,4791,6
50,612951,6695,8785,5
100,3763154,13693,17925,24
