ShipCount,TotalCellsExpanded,TotalPathLength(Ratio),TotalPathCost,TotalTimeTaken
1,12963,235,298,0
2,7873,181,301,0
5,15137,495,694,0
10,40295,1166,1576,1
25,155131,3600,4783,1
50,278232,6677,8749,2
100,581804,13573,17867,4
