ShipCount,TotalCellsExpanded,TotalPathLength(Ratio),TotalPathCost,TotalTimeTaken
1,12337,10000,298,0
2,7927,10000,301,0
5,15358,10000,694,1
10,48690,10000,1578,1
25,291663,10000,4791,1
50,782873,10000,8791,4
100,6288831,10000,18023,20
