ShipCount,TotalCellsExpanded,TotalPathLength,TotalPathCost,TotalTimeTaken
1,12293,239,298,0
2,7907,181,301,0
5,15158,469,694,0
10,40262,1160,1576,1
25,155299,3600,4783,1
50,277948,6671,8749,2
100,581956,13569,17867,7
,,,,
Normal usage of FIndexPriorityQueue,,,,
