ShipCount,TotalCellsExpanded,TotalPathLength,TotalPathCost,TotalTimeTaken
1,49925,233,298,0
2,31762,181,301,0
5,61557,491,694,0
10,163275,1152,1576,1
25,625587,3584,4783,2
50,1121071,6637,8747,4
100,2344197,13589,17865,8
,,,,
TotalCellExpanded being everything touched.,,,,
