ShipCount,TotalCellsExpanded,TotalPathLength,TotalPathCost,TotalTimeTaken
1,11923,233,298,0
2,7993,185,305,0
5,15256,499,700,0
10,40654,1174,1594,0
25,155787,3622,4815,2
50,280331,6757,8831,3
100,590096,13709,18017,6
