ShipCount,TotalCellsExpanded,TotalPathLength,TotalPathCost,TotalTimeTaken
1,13653,235,298,0
2,8737,181,301,0
5,16645,495,694,0
10,44558,1158,1576,0
25,169590,3602,4783,2
50,305746,6683,8749,4
100,637652,13603,17867,7
