ShipCount,TotalCellsExpanded,TotalPathLength,TotalPathCost,TotalTimeTaken
1,233,233,298,0
2,181,181,301,0
5,495,495,694,1
10,1160,1160,1576,1
25,3614,3614,4785,1
50,6703,6703,8749,2
100,13641,13641,17869,4
