ShipCount,TotalCellsExpanded,TotalPathLength,TotalPathCost,TotalTimeTaken
1,0,0,0,7
1,0,0,0,0
1,12109,239,298,0
1,12109,239,298,0
1,12109,239,298,0
2,8033,185,305,0
5,15464,475,702,1
10,40604,1174,1592,1
25,156202,3626,4817,1
50,280816,6755,8841,3
100,584023,13659,17991,7
