Scenario,Start,End,ShipName,CellsExpanded,PathCost,ActionAmount
25,50.146,158.49,BP_Ship_C_39,10010,264,227
25,163.81,139.154,BP_Ship_C_40,6737,262,221
25,91.17,119.159,BP_Ship_C_41,2178,138,85
25,28.54,172.84,BP_Ship_C_42,9586,286,235
50,189.78,80.11,BP_Ship_C_43,800,60,45
50,81.68,100.42,BP_Ship_C_44,1476,97,64
50,43.25,156.59,BP_Ship_C_45,8555,219,192
50,133.93,116.87,BP_Ship_C_46,8716,237,168
50,184.103,140.49,BP_Ship_C_47,1811,113,84
50,163.109,178.89,BP_Ship_C_48,3317,147,128
50,47.45,37.56,BP_Ship_C_49,3197,163,94
50,102.111,138.115,BP_Ship_C_50,13755,259,184
50,95.96,108.95,BP_Ship_C_51,3032,128,97
50,142.121,40.55,BP_Ship_C_52,4849,162,131
50,138.156,154.46,BP_Ship_C_53,11220,268,239
50,191.121,91.1,BP_Ship_C_54,4183,143,96
50,74.20,115.137,BP_Ship_C_55,10371,265,182
50,79.102,67.181,BP_Ship_C_56,9035,269,220
50,133.90,164.109,BP_Ship_C_57,1266,91,54
50,140.128,151.114,BP_Ship_C_58,20549,335,254
50,141.144,126.140,BP_Ship_C_59,2134,148,125
50,76.3,185.59,BP_Ship_C_60,298,41,18
50,76.124,86.69,BP_Ship_C_61,7365,216,167
50,85.8,163.140,BP_Ship_C_62,6637,208,143
50,7.122,146.46,BP_Ship_C_63,5528,182,157
50,50.146,158.49,BP_Ship_C_64,8194,216,105
50,163.81,139.154,BP_Ship_C_65,6453,198,149
50,91.17,119.159,BP_Ship_C_66,15877,274,225
50,28.54,172.84,BP_Ship_C_67,2298,130,101
50,25.48,158.144,BP_Ship_C_68,14219,292,215
50,116.42,119.162,BP_Ship_C_69,352,53,40
50,110.190,5.90,BP_Ship_C_70,2222,204,189
50,9.64,33.64,BP_Ship_C_71,7932,226,185
50,145.48,109.150,BP_Ship_C_72,4942,209,184
50,138.128,4.80,BP_Ship_C_73,7437,232,211
50,88.85,31.130,BP_Ship_C_74,687,90,75
50,186.64,35.51,BP_Ship_C_75,673,65,40
50,113.42,67.83,BP_Ship_C_76,183,36,13
50,158.136,86.132,BP_Ship_C_77,375,45,16
50,87.53,15.67,BP_Ship_C_78,19833,302,225
50,6.109,190.84,BP_Ship_C_79,12949,283,226
50,12.77,32.74,BP_Ship_C_80,5740,237,204
50,92.53,141.112,BP_Ship_C_81,11458,240,201
50,126.181,121.84,BP_Ship_C_82,866,93,56
50,155.58,130.90,BP_Ship_C_83,8,6,3
50,152.170,151.171,BP_Ship_C_84,9033,218,177
50,94.42,165.78,BP_Ship_C_85,1453,93,62
50,121.158,65.164,BP_Ship_C_86,3854,138,91
50,104.184,117.169,BP_Ship_C_87,15100,310,243
50,85.99,97.103,BP_Ship_C_88,12938,301,210
50,55.36,188.93,BP_Ship_C_89,718,59,38
50,71.18,172.121,BP_Ship_C_90,3861,157,108
50,63.92,186.130,BP_Ship_C_91,422,49,36
50,180.111,83.32,BP_Ship_C_92,7575,242,213
100,189.78,80.11,BP_Ship_C_93,20861,321,240
100,81.68,100.42,BP_Ship_C_94,8381,233,176
100,43.25,156.59,BP_Ship_C_95,7894,217,146
100,133.93,116.87,BP_Ship_C_96,355,40,17
100,184.103,140.49,BP_Ship_C_97,645,60,53
100,163.109,178.89,BP_Ship_C_98,427,48,25
100,47.45,37.56,BP_Ship_C_99,8866,248,199
100,102.111,138.115,BP_Ship_C_100,1024,77,48
100,95.96,108.95,BP_Ship_C_101,1835,104,75
100,142.121,40.55,BP_Ship_C_102,7299,223,140
100,138.156,154.46,BP_Ship_C_103,11217,294,219
100,191.121,91.1,BP_Ship_C_104,10739,234,199
100,74.20,115.137,BP_Ship_C_105,61,18,7
100,79.102,67.181,BP_Ship_C_106,2143,126,73
100,133.90,164.109,BP_Ship_C_107,2935,181,136
100,140.128,151.114,BP_Ship_C_108,10054,248,219
100,141.144,126.140,BP_Ship_C_109,11925,269,192
100,76.3,185.59,BP_Ship_C_110,2530,119,84
100,76.124,86.69,BP_Ship_C_111,19259,303,250
100,85.8,163.140,BP_Ship_C_112,5949,195,128
100,7.122,146.46,BP_Ship_C_113,1692,121,110
100,50.146,158.49,BP_Ship_C_114,1626,129,114
100,163.81,139.154,BP_Ship_C_115,16347,322,269
100,91.17,119.159,BP_Ship_C_116,7219,228,181
100,28.54,172.84,BP_Ship_C_117,2566,131,94
100,25.48,158.144,BP_Ship_C_118,3811,147,98
100,116.42,119.162,BP_Ship_C_119,622,58,43
100,110.190,5.90,BP_Ship_C_120,11178,278,235
100,9.64,33.64,BP_Ship_C_121,13117,274,187
100,145.48,109.150,BP_Ship_C_122,15930,316,213
100,138.128,4.80,BP_Ship_C_123,8854,251,182
100,88.85,31.130,BP_Ship_C_124,2079,161,136
100,186.64,35.51,BP_Ship_C_125,2036,130,101
100,113.42,67.83,BP_Ship_C_126,23006,330,255
100,158.136,86.132,BP_Ship_C_127,1194,81,50
100,87.53,15.67,BP_Ship_C_128,13177,296,245
100,6.109,190.84,BP_Ship_C_129,6249,200,179
100,12.77,32.74,BP_Ship_C_130,8349,221,154
100,92.53,141.112,BP_Ship_C_131,16203,275,236
100,126.181,121.84,BP_Ship_C_132,2343,120,93
100,155.58,130.90,BP_Ship_C_133,3625,166,151
100,152.170,151.171,BP_Ship_C_134,2204,94,65
100,94.42,165.78,BP_Ship_C_135,3813,148,113
100,121.158,65.164,BP_Ship_C_136,542,70,65
100,104.184,117.169,BP_Ship_C_137,1825,119,102
100,85.99,97.103,BP_Ship_C_138,13586,317,248
100,55.36,188.93,BP_Ship_C_139,9955,262,197
100,71.18,172.121,BP_Ship_C_140,2111,116,59
100,63.92,186.130,BP_Ship_C_141,2699,161,102
100,180.111,83.32,BP_Ship_C_142,12529,285,230
100,130.85,28.84,BP_Ship_C_143,19437,331,232
100,77.87,103.118,BP_Ship_C_144,4816,149,122
100,110.75,19.102,BP_Ship_C_145,132,33,12
100,190.80,14.70,BP_Ship_C_146,4291,154,103
100,31.155,154.99,BP_Ship_C_147,6467,190,115
100,34.53,146.73,BP_Ship_C_148,2590,125,88
100,163.52,47.29,BP_Ship_C_149,4937,200,179
100,133.48,65.11,BP_Ship_C_150,12341,305,238
100,91.110,125.156,BP_Ship_C_151,10528,289,248
100,179.56,104.150,BP_Ship_C_152,2216,107,68
100,138.123,120.174,BP_Ship_C_153,540,63,32
100,188.85,85.19,BP_Ship_C_154,2204,109,80
100,69.46,59.41,BP_Ship_C_155,554,60,27
100,155.168,156.164,BP_Ship_C_156,650,59,40
100,148.110,145.101,BP_Ship_C_157,1522,109,90
100,27.114,40.146,BP_Ship_C_158,4362,151,104
100,136.132,151.145,BP_Ship_C_159,3073,195,168
100,113.111,85.51,BP_Ship_C_160,8325,252,219
100,112.183,23.41,BP_Ship_C_161,9300,268,213
100,57.64,44.88,BP_Ship_C_162,4669,183,150
100,79.93,55.12,BP_Ship_C_163,12978,298,279
100,150.53,100.155,BP_Ship_C_164,4,3,2
100,64.165,42.51,BP_Ship_C_165,10722,274,217
100,63.29,184.68,BP_Ship_C_166,5502,251,218
100,169.64,60.55,BP_Ship_C_167,188,31,22
100,126.86,120.90,BP_Ship_C_168,7740,209,172
100,64.13,78.46,BP_Ship_C_169,2729,127,48
100,63.103,71.104,BP_Ship_C_170,176,34,25
100,73.11,180.135,BP_Ship_C_171,3192,133,94
100,87.146,20.155,BP_Ship_C_172,29,12,5
100,179.58,92.9,BP_Ship_C_173,2882,134,75
100,190.83,67.155,BP_Ship_C_174,1770,104,63
100,118.75,76.108,BP_Ship_C_175,1751,97,38
100,146.73,33.30,BP_Ship_C_176,5657,198,165
100,118.54,105.186,BP_Ship_C_177,6850,258,219
100,63.10,116.170,BP_Ship_C_178,611,77,56
100,178.107,155.92,BP_Ship_C_179,11122,304,255
100,61.100,64.89,BP_Ship_C_180,7066,187,136
100,143.64,140.88,BP_Ship_C_181,17989,321,226
100,109.183,85.40,BP_Ship_C_182,1769,120,85
100,161.30,17.109,BP_Ship_C_183,3,3,2
100,15.84,134.41,BP_Ship_C_184,3476,176,137
100,174.100,140.90,BP_Ship_C_185,5292,169,88
100,46.90,45.96,BP_Ship_C_186,15199,306,239
100,84.41,162.106,BP_Ship_C_187,27,12,5
100,28.40,147.167,BP_Ship_C_188,2147,115,84
100,23.125,26.154,BP_Ship_C_189,18834,317,268
100,81.148,132.140,BP_Ship_C_190,14265,309,246
100,66.35,177.53,BP_Ship_C_191,15963,304,271
100,143.57,46.24,BP_Ship_C_192,13879,287,202
