Scenario,Start,End,ShipName,CellsExpanded,PathCost,ActionAmount
1,189.78,80.11,BP_Ship_C_0,13653,298,235
2,189.78,80.11,BP_Ship_C_1,1242,109,68
2,81.68,100.42,BP_Ship_C_2,7495,192,113
5,189.78,80.11,BP_Ship_C_3,4777,160,139
5,81.68,100.42,BP_Ship_C_4,4304,185,118
5,43.25,156.59,BP_Ship_C_5,4649,195,152
5,133.93,116.87,BP_Ship_C_6,173,30,13
5,184.103,140.49,BP_Ship_C_7,2742,124,73
10,189.78,80.11,BP_Ship_C_8,1618,108,59
10,81.68,100.42,BP_Ship_C_9,7995,204,133
10,43.25,156.59,BP_Ship_C_10,2029,168,133
10,133.93,116.87,BP_Ship_C_11,10894,263,210
10,184.103,140.49,BP_Ship_C_12,2285,150,115
10,163.109,178.89,BP_Ship_C_13,6726,242,195
10,47.45,37.56,BP_Ship_C_14,627,60,27
10,102.111,138.115,BP_Ship_C_15,87,24,15
10,95.96,108.95,BP_Ship_C_16,10397,250,211
10,142.121,40.55,BP_Ship_C_17,1900,107,60
25,189.78,80.11,BP_Ship_C_18,13007,236,181
25,81.68,100.42,BP_Ship_C_19,3200,127,82
25,43.25,156.59,BP_Ship_C_20,2064,108,95
25,133.93,116.87,BP_Ship_C_21,18676,334,267
25,184.103,140.49,BP_Ship_C_22,3788,154,109
25,163.109,178.89,BP_Ship_C_23,5892,186,161
25,47.45,37.56,BP_Ship_C_24,2976,162,145
25,102.111,138.115,BP_Ship_C_25,20577,328,243
25,95.96,108.95,BP_Ship_C_26,1815,106,61
25,142.121,40.55,BP_Ship_C_27,2963,168,115
25,138.156,154.46,BP_Ship_C_28,1222,83,46
25,191.121,91.1,BP_Ship_C_29,11495,253,200
25,74.20,115.137,BP_Ship_C_30,10375,222,117
25,79.102,67.181,BP_Ship_C_31,6281,187,154
25,133.90,164.109,BP_Ship_C_32,1000,74,35
25,140.128,151.114,BP_Ship_C_33,848,69,42
25,141.144,126.140,BP_Ship_C_34,4999,234,199
25,76.3,185.59,BP_Ship_C_35,3969,147,94
25,76.124,86.69,BP_Ship_C_36,4490,151,112
25,85.8,163.140,BP_Ship_C_37,15022,293,230
25,7.122,146.46,BP_Ship_C_38,6420,211,146
