Scenario,Start,End,ShipName,CellsExpanded,PathCost,ActionAmount
50,43.25,156.59,BP_Ship_C_45,188,219,188
50,133.93,116.87,BP_Ship_C_46,166,237,166
50,184.103,140.49,BP_Ship_C_47,84,113,84
50,163.109,178.89,BP_Ship_C_48,130,147,130
50,47.45,37.56,BP_Ship_C_49,94,163,94
50,102.111,138.115,BP_Ship_C_50,186,259,186
50,95.96,108.95,BP_Ship_C_51,97,128,97
50,142.121,40.55,BP_Ship_C_52,131,162,131
50,138.156,154.46,BP_Ship_C_53,239,268,239
50,191.121,91.1,BP_Ship_C_54,98,143,98
50,74.20,115.137,BP_Ship_C_55,184,265,184
50,79.102,67.181,BP_Ship_C_56,224,269,224
50,133.90,164.109,BP_Ship_C_57,54,91,54
50,140.128,151.114,BP_Ship_C_58,252,335,252
50,141.144,126.140,BP_Ship_C_59,125,148,125
50,76.3,185.59,BP_Ship_C_60,18,41,18
50,76.124,86.69,BP_Ship_C_61,171,216,171
50,85.8,163.140,BP_Ship_C_62,143,208,143
50,7.122,146.46,BP_Ship_C_63,157,182,157
50,50.146,158.49,BP_Ship_C_64,105,216,105
50,163.81,139.154,BP_Ship_C_65,147,198,147
50,91.17,119.159,BP_Ship_C_66,227,274,227
50,28.54,172.84,BP_Ship_C_67,103,130,103
50,25.48,158.144,BP_Ship_C_68,215,292,215
50,116.42,119.162,BP_Ship_C_69,42,53,42
50,110.190,5.90,BP_Ship_C_70,189,204,189
50,9.64,33.64,BP_Ship_C_71,185,226,185
50,145.48,109.150,BP_Ship_C_72,184,209,184
50,138.128,4.80,BP_Ship_C_73,213,232,213
50,88.85,31.130,BP_Ship_C_74,75,90,75
50,186.64,35.51,BP_Ship_C_75,40,65,40
50,113.42,67.83,BP_Ship_C_76,13,36,13
50,158.136,86.132,BP_Ship_C_77,16,45,16
50,87.53,15.67,BP_Ship_C_78,223,302,223
50,6.109,190.84,BP_Ship_C_79,230,283,230
50,12.77,32.74,BP_Ship_C_80,204,237,204
50,92.53,141.112,BP_Ship_C_81,201,240,201
50,126.181,121.84,BP_Ship_C_82,56,93,56
50,155.58,130.90,BP_Ship_C_83,3,6,3
50,152.170,151.171,BP_Ship_C_84,179,218,179
50,94.42,165.78,BP_Ship_C_85,62,93,62
50,121.158,65.164,BP_Ship_C_86,91,138,91
50,104.184,117.169,BP_Ship_C_87,245,310,245
50,85.99,97.103,BP_Ship_C_88,210,301,210
50,55.36,188.93,BP_Ship_C_89,38,59,38
50,71.18,172.121,BP_Ship_C_90,108,157,108
50,63.92,186.130,BP_Ship_C_91,36,49,36
50,180.111,83.32,BP_Ship_C_92,213,242,213
100,189.78,80.11,BP_Ship_C_93,240,321,240
100,81.68,100.42,BP_Ship_C_94,176,233,176
100,43.25,156.59,BP_Ship_C_95,148,217,148
100,133.93,116.87,BP_Ship_C_96,17,40,17
100,184.103,140.49,BP_Ship_C_97,53,60,53
100,163.109,178.89,BP_Ship_C_98,25,48,25
100,47.45,37.56,BP_Ship_C_99,199,248,199
100,102.111,138.115,BP_Ship_C_100,48,77,48
100,95.96,108.95,BP_Ship_C_101,75,104,75
100,142.121,40.55,BP_Ship_C_102,142,223,142
100,138.156,154.46,BP_Ship_C_103,219,294,219
100,191.121,91.1,BP_Ship_C_104,167,234,167
100,74.20,115.137,BP_Ship_C_105,7,18,7
100,79.102,67.181,BP_Ship_C_106,73,126,73
100,133.90,164.109,BP_Ship_C_107,136,181,136
100,140.128,151.114,BP_Ship_C_108,221,248,221
100,141.144,126.140,BP_Ship_C_109,192,269,192
100,76.3,185.59,BP_Ship_C_110,84,119,84
100,76.124,86.69,BP_Ship_C_111,258,303,258
100,85.8,163.140,BP_Ship_C_112,128,195,128
100,7.122,146.46,BP_Ship_C_113,112,121,112
100,50.146,158.49,BP_Ship_C_114,114,129,114
100,163.81,139.154,BP_Ship_C_115,263,322,263
100,91.17,119.159,BP_Ship_C_116,183,228,183
100,28.54,172.84,BP_Ship_C_117,94,131,94
100,25.48,158.144,BP_Ship_C_118,98,147,98
100,116.42,119.162,BP_Ship_C_119,43,58,43
100,110.190,5.90,BP_Ship_C_120,235,278,235
100,9.64,33.64,BP_Ship_C_121,193,274,193
100,145.48,109.150,BP_Ship_C_122,213,316,213
100,138.128,4.80,BP_Ship_C_123,182,251,182
100,88.85,31.130,BP_Ship_C_124,138,161,138
100,186.64,35.51,BP_Ship_C_125,97,130,97
100,113.42,67.83,BP_Ship_C_126,299,330,299
100,158.136,86.132,BP_Ship_C_127,50,81,50
100,87.53,15.67,BP_Ship_C_128,245,296,245
100,6.109,190.84,BP_Ship_C_129,179,200,179
100,12.77,32.74,BP_Ship_C_130,164,221,164
100,92.53,141.112,BP_Ship_C_131,202,275,202
100,126.181,121.84,BP_Ship_C_132,93,120,93
100,155.58,130.90,BP_Ship_C_133,151,166,151
100,152.170,151.171,BP_Ship_C_134,65,94,65
100,94.42,165.78,BP_Ship_C_135,113,148,113
100,121.158,65.164,BP_Ship_C_136,65,70,65
100,104.184,117.169,BP_Ship_C_137,102,119,102
100,85.99,97.103,BP_Ship_C_138,242,317,242
100,55.36,188.93,BP_Ship_C_139,195,262,195
100,71.18,172.121,BP_Ship_C_140,59,116,59
100,63.92,186.130,BP_Ship_C_141,102,161,102
100,180.111,83.32,BP_Ship_C_142,228,285,228
100,130.85,28.84,BP_Ship_C_143,266,331,266
100,77.87,103.118,BP_Ship_C_144,124,149,124
100,110.75,19.102,BP_Ship_C_145,12,33,12
100,190.80,14.70,BP_Ship_C_146,103,154,103
100,31.155,154.99,BP_Ship_C_147,113,190,113
100,34.53,146.73,BP_Ship_C_148,88,125,88
100,163.52,47.29,BP_Ship_C_149,177,200,177
100,133.48,65.11,BP_Ship_C_150,240,305,240
100,91.110,125.156,BP_Ship_C_151,248,289,248
100,179.56,104.150,BP_Ship_C_152,68,107,68
100,138.123,120.174,BP_Ship_C_153,32,63,32
100,188.85,85.19,BP_Ship_C_154,80,109,80
100,69.46,59.41,BP_Ship_C_155,21,60,21
100,155.168,156.164,BP_Ship_C_156,40,59,40
100,148.110,145.101,BP_Ship_C_157,90,109,90
100,27.114,40.146,BP_Ship_C_158,104,151,104
100,136.132,151.145,BP_Ship_C_159,168,195,168
100,113.111,85.51,BP_Ship_C_160,219,252,219
100,112.183,23.41,BP_Ship_C_161,207,268,207
100,57.64,44.88,BP_Ship_C_162,152,183,152
100,79.93,55.12,BP_Ship_C_163,279,298,279
100,150.53,100.155,BP_Ship_C_164,2,3,2
100,64.165,42.51,BP_Ship_C_165,215,274,215
100,63.29,184.68,BP_Ship_C_166,218,251,218
100,169.64,60.55,BP_Ship_C_167,24,31,24
100,126.86,120.90,BP_Ship_C_168,172,209,172
100,64.13,78.46,BP_Ship_C_169,48,127,48
100,63.103,71.104,BP_Ship_C_170,25,34,25
100,73.11,180.135,BP_Ship_C_171,94,133,94
100,87.146,20.155,BP_Ship_C_172,5,12,5
100,179.58,92.9,BP_Ship_C_173,75,134,75
100,190.83,67.155,BP_Ship_C_174,65,104,65
100,118.75,76.108,BP_Ship_C_175,38,97,38
100,146.73,33.30,BP_Ship_C_176,165,198,165
100,118.54,105.186,BP_Ship_C_177,231,258,231
100,63.10,116.170,BP_Ship_C_178,56,77,56
100,178.107,155.92,BP_Ship_C_179,257,304,257
100,61.100,64.89,BP_Ship_C_180,138,187,138
100,143.64,140.88,BP_Ship_C_181,224,321,224
100,109.183,85.40,BP_Ship_C_182,87,120,87
100,161.30,17.109,BP_Ship_C_183,2,3,2
100,15.84,134.41,BP_Ship_C_184,137,176,137
100,174.100,140.90,BP_Ship_C_185,88,169,88
100,46.90,45.96,BP_Ship_C_186,239,306,239
100,84.41,162.106,BP_Ship_C_187,5,12,5
100,28.40,147.167,BP_Ship_C_188,84,115,84
100,23.125,26.154,BP_Ship_C_189,272,319,272
100,81.148,132.140,BP_Ship_C_190,244,309,244
100,66.35,177.53,BP_Ship_C_191,271,304,271
100,143.57,46.24,BP_Ship_C_192,202,287,202
