Scenario,Start,End,ShipName,CellsExpanded,PathCost,ActionAmount
1,189.78,80.11,BP_Ship_C_0,0,298,239
2,189.78,80.11,BP_Ship_C_1,0,109,68
2,81.68,100.42,BP_Ship_C_2,0,192,113
5,189.78,80.11,BP_Ship_C_3,0,160,139
5,81.68,100.42,BP_Ship_C_4,0,185,118
5,43.25,156.59,BP_Ship_C_5,0,195,126
5,133.93,116.87,BP_Ship_C_6,0,30,13
5,184.103,140.49,BP_Ship_C_7,0,124,73
10,189.78,80.11,BP_Ship_C_8,0,108,59
10,81.68,100.42,BP_Ship_C_9,0,204,133
10,43.25,156.59,BP_Ship_C_10,0,168,135
10,133.93,116.87,BP_Ship_C_11,0,263,210
10,184.103,140.49,BP_Ship_C_12,0,150,115
10,163.109,178.89,BP_Ship_C_13,0,242,195
10,47.45,37.56,BP_Ship_C_14,0,60,27
10,102.111,138.115,BP_Ship_C_15,0,24,15
10,95.96,108.95,BP_Ship_C_16,0,250,211
10,142.121,40.55,BP_Ship_C_17,0,107,60
25,189.78,80.11,BP_Ship_C_18,0,236,181
25,81.68,100.42,BP_Ship_C_19,0,127,82
25,43.25,156.59,BP_Ship_C_20,0,108,95
25,133.93,116.87,BP_Ship_C_21,0,334,267
25,184.103,140.49,BP_Ship_C_22,0,154,109
25,163.109,178.89,BP_Ship_C_23,0,186,163
25,47.45,37.56,BP_Ship_C_24,0,162,145
25,102.111,138.115,BP_Ship_C_25,0,328,245
25,95.96,108.95,BP_Ship_C_26,0,106,63
25,142.121,40.55,BP_Ship_C_27,0,168,115
25,138.156,154.46,BP_Ship_C_28,0,83,46
25,191.121,91.1,BP_Ship_C_29,0,253,200
25,74.20,115.137,BP_Ship_C_30,0,222,117
25,79.102,67.181,BP_Ship_C_31,0,187,152
25,133.90,164.109,BP_Ship_C_32,0,74,35
25,140.128,151.114,BP_Ship_C_33,0,69,42
25,141.144,126.140,BP_Ship_C_34,0,234,199
25,76.3,185.59,BP_Ship_C_35,0,147,94
25,76.124,86.69,BP_Ship_C_36,0,151,112
25,85.8,163.140,BP_Ship_C_37,0,293,224
25,7.122,146.46,BP_Ship_C_38,0,211,146
25,50.146,158.49,BP_Ship_C_39,0,264,227
25,163.81,139.154,BP_Ship_C_40,0,262,221
25,91.17,119.159,BP_Ship_C_41,0,138,85
25,28.54,172.84,BP_Ship_C_42,0,286,235
50,189.78,80.11,BP_Ship_C_43,0,60,45
50,81.68,100.42,BP_Ship_C_44,0,97,64
50,43.25,156.59,BP_Ship_C_45,0,219,192
50,133.93,116.87,BP_Ship_C_46,0,237,168
50,184.103,140.49,BP_Ship_C_47,0,113,84
50,163.109,178.89,BP_Ship_C_48,0,147,124
50,47.45,37.56,BP_Ship_C_49,0,163,94
50,102.111,138.115,BP_Ship_C_50,0,259,186
50,95.96,108.95,BP_Ship_C_51,0,128,97
50,142.121,40.55,BP_Ship_C_52,0,162,131
50,138.156,154.46,BP_Ship_C_53,0,268,215
50,191.121,91.1,BP_Ship_C_54,0,143,98
50,74.20,115.137,BP_Ship_C_55,0,265,184
50,79.102,67.181,BP_Ship_C_56,0,269,220
50,133.90,164.109,BP_Ship_C_57,0,91,54
50,140.128,151.114,BP_Ship_C_58,0,335,254
50,141.144,126.140,BP_Ship_C_59,0,148,125
50,76.3,185.59,BP_Ship_C_60,0,41,18
50,76.124,86.69,BP_Ship_C_61,0,216,171
50,85.8,163.140,BP_Ship_C_62,0,208,143
50,7.122,146.46,BP_Ship_C_63,0,182,157
50,50.146,158.49,BP_Ship_C_64,0,216,105
50,163.81,139.154,BP_Ship_C_65,0,198,149
50,91.17,119.159,BP_Ship_C_66,0,274,227
50,28.54,172.84,BP_Ship_C_67,0,130,101
50,25.48,158.144,BP_Ship_C_68,0,292,215
50,116.42,119.162,BP_Ship_C_69,0,53,42
50,110.190,5.90,BP_Ship_C_70,0,204,189
50,9.64,33.64,BP_Ship_C_71,0,226,185
50,145.48,109.150,BP_Ship_C_72,0,209,184
50,138.128,4.80,BP_Ship_C_73,0,232,211
50,88.85,31.130,BP_Ship_C_74,0,90,75
50,186.64,35.51,BP_Ship_C_75,0,65,40
50,113.42,67.83,BP_Ship_C_76,0,36,13
50,158.136,86.132,BP_Ship_C_77,0,45,16
50,87.53,15.67,BP_Ship_C_78,0,302,223
50,6.109,190.84,BP_Ship_C_79,0,283,226
50,12.77,32.74,BP_Ship_C_80,0,237,204
50,92.53,141.112,BP_Ship_C_81,0,240,201
50,126.181,121.84,BP_Ship_C_82,0,93,56
50,155.58,130.90,BP_Ship_C_83,0,6,3
50,152.170,151.171,BP_Ship_C_84,0,218,179
50,94.42,165.78,BP_Ship_C_85,0,93,62
50,121.158,65.164,BP_Ship_C_86,0,138,91
50,104.184,117.169,BP_Ship_C_87,0,310,245
50,85.99,97.103,BP_Ship_C_88,0,301,210
50,55.36,188.93,BP_Ship_C_89,0,59,38
50,71.18,172.121,BP_Ship_C_90,0,157,108
50,63.92,186.130,BP_Ship_C_91,0,49,36
50,180.111,83.32,BP_Ship_C_92,0,242,213
100,189.78,80.11,BP_Ship_C_93,0,321,240
