Scenario,Start,End,ShipName,CellsExpanded,PathCost,ActionAmount
1,189.78,80.11,BP_Ship_C_0,12293,298,239
2,189.78,80.11,BP_Ship_C_1,1241,109,68
2,81.68,100.42,BP_Ship_C_2,6666,192,113
5,189.78,80.11,BP_Ship_C_3,4484,160,139
5,81.68,100.42,BP_Ship_C_4,3747,185,118
5,43.25,156.59,BP_Ship_C_5,4287,195,126
5,133.93,116.87,BP_Ship_C_6,160,30,13
5,184.103,140.49,BP_Ship_C_7,2480,124,73
10,189.78,80.11,BP_Ship_C_8,1475,108,59
10,81.68,100.42,BP_Ship_C_9,7494,204,133
10,43.25,156.59,BP_Ship_C_10,1881,168,135
10,133.93,116.87,BP_Ship_C_11,9710,263,210
10,184.103,140.49,BP_Ship_C_12,2092,150,115
10,163.109,178.89,BP_Ship_C_13,6053,242,195
10,47.45,37.56,BP_Ship_C_14,590,60,27
10,102.111,138.115,BP_Ship_C_15,87,24,15
10,95.96,108.95,BP_Ship_C_16,9149,250,211
10,142.121,40.55,BP_Ship_C_17,1731,107,60
25,189.78,80.11,BP_Ship_C_18,12038,236,181
25,81.68,100.42,BP_Ship_C_19,2914,127,82
25,43.25,156.59,BP_Ship_C_20,2023,108,95
25,133.93,116.87,BP_Ship_C_21,16753,334,267
25,184.103,140.49,BP_Ship_C_22,3290,154,109
25,163.109,178.89,BP_Ship_C_23,5425,186,163
25,47.45,37.56,BP_Ship_C_24,2917,162,145
25,102.111,138.115,BP_Ship_C_25,18714,328,245
25,95.96,108.95,BP_Ship_C_26,1736,106,63
25,142.121,40.55,BP_Ship_C_27,2736,168,115
25,138.156,154.46,BP_Ship_C_28,1136,83,46
25,191.121,91.1,BP_Ship_C_29,10579,253,200
25,74.20,115.137,BP_Ship_C_30,9759,222,117
25,79.102,67.181,BP_Ship_C_31,5614,187,152
25,133.90,164.109,BP_Ship_C_32,929,74,35
25,140.128,151.114,BP_Ship_C_33,782,69,42
25,141.144,126.140,BP_Ship_C_34,4676,234,199
25,76.3,185.59,BP_Ship_C_35,3548,147,94
25,76.124,86.69,BP_Ship_C_36,4102,151,112
25,85.8,163.140,BP_Ship_C_37,13626,293,224
25,7.122,146.46,BP_Ship_C_38,5833,211,146
25,50.146,158.49,BP_Ship_C_39,9105,264,227
25,163.81,139.154,BP_Ship_C_40,6149,262,221
25,91.17,119.159,BP_Ship_C_41,2164,138,85
25,28.54,172.84,BP_Ship_C_42,8751,286,235
50,189.78,80.11,BP_Ship_C_43,668,60,45
50,81.68,100.42,BP_Ship_C_44,1437,97,64
50,43.25,156.59,BP_Ship_C_45,7824,219,192
50,133.93,116.87,BP_Ship_C_46,7694,237,168
50,184.103,140.49,BP_Ship_C_47,1646,113,84
50,163.109,178.89,BP_Ship_C_48,2939,147,124
50,47.45,37.56,BP_Ship_C_49,2896,163,94
50,102.111,138.115,BP_Ship_C_50,12621,259,186
50,95.96,108.95,BP_Ship_C_51,2814,128,97
50,142.121,40.55,BP_Ship_C_52,4271,162,131
50,138.156,154.46,BP_Ship_C_53,10195,268,215
50,191.121,91.1,BP_Ship_C_54,3792,143,98
50,74.20,115.137,BP_Ship_C_55,9458,265,184
50,79.102,67.181,BP_Ship_C_56,8362,269,220
50,133.90,164.109,BP_Ship_C_57,1150,91,54
50,140.128,151.114,BP_Ship_C_58,18756,335,254
50,141.144,126.140,BP_Ship_C_59,2109,148,125
50,76.3,185.59,BP_Ship_C_60,293,41,18
50,76.124,86.69,BP_Ship_C_61,6453,216,171
50,85.8,163.140,BP_Ship_C_62,5932,208,143
50,7.122,146.46,BP_Ship_C_63,4959,182,157
50,50.146,158.49,BP_Ship_C_64,7488,216,105
50,163.81,139.154,BP_Ship_C_65,5876,198,149
50,91.17,119.159,BP_Ship_C_66,14372,274,227
50,28.54,172.84,BP_Ship_C_67,2287,130,101
50,25.48,158.144,BP_Ship_C_68,12849,292,215
50,116.42,119.162,BP_Ship_C_69,357,53,42
50,110.190,5.90,BP_Ship_C_70,1925,204,189
50,9.64,33.64,BP_Ship_C_71,7187,226,185
50,145.48,109.150,BP_Ship_C_72,4367,209,184
50,138.128,4.80,BP_Ship_C_73,6861,232,211
50,88.85,31.130,BP_Ship_C_74,611,90,75
50,186.64,35.51,BP_Ship_C_75,568,65,40
50,113.42,67.83,BP_Ship_C_76,183,36,13
50,158.136,86.132,BP_Ship_C_77,348,45,16
50,87.53,15.67,BP_Ship_C_78,18098,302,223
50,6.109,190.84,BP_Ship_C_79,11421,283,226
50,12.77,32.74,BP_Ship_C_80,5337,237,204
50,92.53,141.112,BP_Ship_C_81,10319,240,201
50,126.181,121.84,BP_Ship_C_82,872,93,56
50,155.58,130.90,BP_Ship_C_83,8,6,3
50,152.170,151.171,BP_Ship_C_84,8566,218,179
50,94.42,165.78,BP_Ship_C_85,1445,93,62
50,121.158,65.164,BP_Ship_C_86,3484,138,91
50,104.184,117.169,BP_Ship_C_87,13452,310,245
50,85.99,97.103,BP_Ship_C_88,11998,301,210
50,55.36,188.93,BP_Ship_C_89,671,59,38
50,71.18,172.121,BP_Ship_C_90,3567,157,108
50,63.92,186.130,BP_Ship_C_91,387,49,36
50,180.111,83.32,BP_Ship_C_92,6775,242,213
100,189.78,80.11,BP_Ship_C_93,18840,321,240
100,81.68,100.42,BP_Ship_C_94,7766,233,176
100,43.25,156.59,BP_Ship_C_95,7028,217,150
100,133.93,116.87,BP_Ship_C_96,358,40,17
100,184.103,140.49,BP_Ship_C_97,608,60,51
100,163.109,178.89,BP_Ship_C_98,397,48,25
100,47.45,37.56,BP_Ship_C_99,8255,248,197
100,102.111,138.115,BP_Ship_C_100,972,77,48
100,95.96,108.95,BP_Ship_C_101,1720,104,75
100,142.121,40.55,BP_Ship_C_102,6878,223,138
100,138.156,154.46,BP_Ship_C_103,10213,294,219
100,191.121,91.1,BP_Ship_C_104,9830,234,201
100,74.20,115.137,BP_Ship_C_105,57,18,7
100,79.102,67.181,BP_Ship_C_106,1991,126,73
100,133.90,164.109,BP_Ship_C_107,2637,181,136
100,140.128,151.114,BP_Ship_C_108,8973,248,219
100,141.144,126.140,BP_Ship_C_109,10647,269,192
100,76.3,185.59,BP_Ship_C_110,2341,119,84
100,76.124,86.69,BP_Ship_C_111,17503,303,250
100,85.8,163.140,BP_Ship_C_112,5394,195,128
100,7.122,146.46,BP_Ship_C_113,1606,121,110
100,50.146,158.49,BP_Ship_C_114,1475,129,114
100,163.81,139.154,BP_Ship_C_115,15139,322,269
100,91.17,119.159,BP_Ship_C_116,6530,228,181
100,28.54,172.84,BP_Ship_C_117,2299,131,94
100,25.48,158.144,BP_Ship_C_118,3407,147,98
100,116.42,119.162,BP_Ship_C_119,610,58,43
100,110.190,5.90,BP_Ship_C_120,10021,278,235
100,9.64,33.64,BP_Ship_C_121,11917,274,187
100,145.48,109.150,BP_Ship_C_122,14767,316,213
100,138.128,4.80,BP_Ship_C_123,7885,251,182
100,88.85,31.130,BP_Ship_C_124,1962,161,136
